task_sizes,naive1,naive2,heuristic
10,37.31910783325799,37.27970212291582,37.27970212291582
10,37.898066566617494,37.10236543445927,37.10236543445927
10,38.85409649224747,38.10133931670451,38.10133931670451
10,34.068999549123355,33.172917795279446,33.172917795279446
10,40.71590381181328,39.82874592701707,39.82874592701705
10,35.784162337054426,34.80983669457533,34.809836694575324
10,32.83723148663728,31.638263819321523,31.638263819321523
10,34.94796195064651,33.08015955760369,33.08015955760369
10,39.751204804980304,39.47245475727045,39.47245475727044
10,33.649628331741106,33.15977237604045,33.15977237604045
11,46.45991316555745,44.74137882837282,44.74137882837281
11,40.665680737310225,39.94468755303647,39.944687553036474
11,35.06890213251341,34.226341400340516,34.239486819579504
11,37.5648078266345,36.58263257008713,36.58263257008713
11,35.74854669727499,34.653184930907294,34.65318493090729
11,40.01689817732562,39.116260428290275,39.11626042829029
11,44.070650514345964,42.80514125823547,42.80514125823548
11,39.968051347764444,38.61465915053994,38.614659150539936
11,36.303471130124926,35.11853095494937,35.11853095494937
11,39.30095294008228,36.907187890423884,36.907187890423884
12,42.763050984176445,41.03860300459661,41.03860300459661
12,53.08374481830087,52.73437060626575,52.734370606265756
12,46.84942711516326,45.63982600485459,45.6398260048546
12,48.7510732388165,47.674277494988175,47.67427749498817
12,43.83998551099951,42.90452979195539,42.90452979195539
12,47.60759947488905,46.30752707569898,46.30752707569897
12,38.69576029277494,37.34066171703483,37.34066171703482
12,41.09346599720299,40.05594902586315,40.05594902586314
12,48.190828219267146,46.56177161325718,46.56177161325718
12,48.581240393896366,47.470039493336195,47.470039493336195
13,53.03194965604159,52.45635318371022,52.45635318371022
13,47.47150385957603,45.74554302007219,45.74554302007219
13,45.12610155140035,42.80176946087693,42.801769460876926
13,50.88430167380108,50.09547870153731,50.09547870153732
13,55.918628246806556,54.69020250188076,54.690202501880755
13,50.414092153897116,48.58136593873486,48.58136593873485
13,51.40622843263239,49.83255163242541,49.83255163242542
13,56.79288890474055,55.682168162018925,55.68216816201894
13,42.39405074383147,40.332058415558116,40.33205841555811
13,44.16199993626259,42.567832947686455,42.567832947686455
14,54.93335672303458,52.017755242692104,52.0177552426921
14,46.69319206361202,45.382080752300524,45.38208075230054
14,61.53742062412965,60.71239988584003,60.71239988584003
14,61.798805488469526,58.72256107952988,58.72256107952988
14,52.74137664000485,50.63785940416392,50.637859404163905
14,65.042180138444,63.83037152492102,63.83037152492103
14,58.37328192369954,56.96241472450066,56.96241472450066
14,55.919875082939996,54.29471365365628,54.29471365365629
14,54.74137664000484,52.458252189048274,52.45825218904828
14,57.86337732828072,56.40722059983138,56.40722059983139
15,51.82539780525428,50.56679870431107,50.56679870431106
15,53.01209257396299,50.592058640698426,50.592058640698426
15,60.11051361278926,58.306791417994226,58.306791417994226
15,49.54865394957584,47.9878784216751,47.987878421675106
15,64.83669163587115,64.43915341984473,64.43915341984473
15,68.52157172468702,66.5778242042818,66.5778242042818
15,57.69034594860172,54.93340545076921,54.9334054507692
15,63.81476943915661,62.432788904040734,62.432788904040734
15,57.360702824355265,56.416793159967476,56.416793159967476
15,63.284989922352175,61.15443170115055,61.15443170115054
16,78.20880813810618,75.28380947745191,75.28380947745191
16,65.07428112346517,60.73291275677464,60.73291275677464
16,61.17575952616831,58.541448691251276,58.541448691251276
16,64.86950786541914,62.09531582561933,62.09531582561932
16,59.07342342340024,55.79270087763972,55.89247698316904
16,69.2534949423958,67.01043048360721,67.0104304836072
16,63.26191950420428,59.75293881398866,59.75293881398866
16,59.02668675883336,57.158532751471974,57.15853275147198
16,71.54620732955068,68.35620555685986,68.35620555685986
16,75.4901615596174,73.82131106730444,73.82131106730444
17,69.76507703250147,66.01119474838971,66.01119474838971
17,59.687400790086244,56.60805272737097,56.60805272737096
17,83.52136927428663,80.80388181417106,80.80388181417106
17,71.81673957111971,66.87340699279237,66.87340699279235
17,67.0601228510805,64.5442902975083,64.5442902975083
17,73.67575920114486,72.72074334998027,72.7207433499803
17,63.006235578553685,59.060035041024484,59.24982149624429
17,75.53263810458657,72.3608093507433,72.3608093507433
17,64.05546755764418,61.36551931744564,61.365519317445646
17,63.084828740570536,61.4047440027073,61.404744002707304
18,63.54098353446905,61.39887162381055,61.39887162381054
18,79.9863347281424,76.63979672123014,76.63979672123011
18,85.83524113518479,83.40231909302653,83.40231909302653
18,65.03178704264627,60.384047352991224,60.38404735299122
18,89.82737066021201,86.34899982400742,86.34899982400742
18,77.03556103417166,72.98969391017737,72.98969391017735
18,63.593151629940365,62.070657656277334,62.070657656277334
18,76.00726359613698,74.85391278133172,74.8539127813317
18,64.73232111421332,59.7328025336799,59.7328025336799
18,81.45474827846988,78.27521290782836,78.27521290782835
19,90.37855118506201,86.91894243408201,86.918942434082
19,72.6345440827396,68.54037558573805,68.54037558573805
19,71.4830902117319,67.95594345699008,67.95594345699007
19,82.91311600549035,79.33793440835991,79.33793440835991
19,92.4973102157401,89.61987242128738,89.6198724212874
19,69.00499910382834,66.71391506168256,66.71391506168254
19,80.6520570893822,77.74188475174087,77.74188475174087
19,82.34262546301944,77.08191200785913,77.08191200785912
19,68.2311620709098,66.3031741691201,66.3031741691201
19,96.6249989851051,92.67466214633535,92.67466214633535
20,90.60054049560534,85.84713601861102,85.88671951855387
20,97.79118748965519,92.57660967053731,92.57660967053732
20,93.91486558657601,90.46629969714691,90.4662996971469
20,77.3244629435982,72.0851631248258,72.08516312482578
20,91.80671607068157,86.42129159901519,86.42129159901522
20,89.79016500478053,85.54851431809165,85.54851431809165
20,98.84444486223981,97.17271449143962,97.17271449143962
20,76.94934299918026,73.54675263526283,73.54675263526283
20,88.94246228070932,85.41197783842944,85.41197783842944
20,85.4834562137545,78.4134977727509,78.4134977727509
21,85.99743214046242,83.27835882311427,83.27835882311427
21,98.50248116457463,92.17371644038417,92.17371644038415
21,97.8784836127532,95.18632262153105,95.18632262153108
21,100.05537251232369,94.62196165931024,94.62196165931024
21,89.01222420731138,84.63277643410557,84.63277643410552
21,89.39889537410735,84.8368276333827,84.83682763338271
21,90.50636432075962,85.96230996348778,85.96230996348778
21,98.5380249375205,94.51047977735097,94.51047977735098
21,105.43918160934709,101.3513481974079,101.35134819740792
21,81.00323736198587,75.04007218628524,75.04007218628524
22,90.51527902144991,84.23113529712661,84.2311352971266
22,83.47971909796212,77.9102523930127,77.91025239301271
22,95.06654009406529,90.37489045110098,90.37489045110095
22,96.16240130430899,91.53776611604354,91.53776611604351
22,110.14981312782578,106.19350833661645,106.19350833661643
22,87.065208091931,81.81359380221805,81.85937384780445
22,91.6105028925814,87.3114819758275,87.31148197582749
22,94.66887462015009,87.3628686408531,87.36286864085312
22,94.38762800236573,89.29791247107272,89.29791247107273
22,103.16935418216895,98.64257161834118,98.64257161834115
23,95.54705952985276,88.52426988448886,88.52426988448886
23,96.27907766369546,89.1091758484801,89.1091758484801
23,90.73307906170012,85.13205343549902,85.13205343549903
23,88.13549004977142,83.13590819081061,83.1359081908106
23,100.52605219480668,95.42412875636917,95.42412875636916
23,96.7067343880608,91.30948696472205,91.30948696472204
23,124.03856575297698,119.35376538139482,119.3537653813948
23,95.78508159345034,90.14190221032418,90.16023257226936
23,101.94881343184045,97.46832350333848,97.46832350333844
23,97.94455522325902,90.63464380542065,90.63464380542067
24,126.15803714805921,114.60263446542031,114.60263446542032
24,117.59501946239803,113.23295029890221,113.23295029890221
24,105.98442040414625,98.80179897146273,98.80179897146277
24,100.61191889952947,92.15279434314432,92.24848221052694
24,95.5377554720034,89.1195947089106,89.11959470891058
24,95.40775837695067,89.44304184617859,89.44304184617857
24,102.7083201361678,95.69349485831212,95.77913273224317
24,104.42894748334061,95.88211001953049,95.88211001953047
24,124.70171709165616,118.38427375920688,118.38427375920688
24,104.80275221042805,98.63365577769346,98.89999765824699
25,91.7725894374614,87.76502226766775,87.76502226766773
25,106.2374991285433,101.25558307477407,101.25558307477405
25,126.52288238440329,118.42213672942168,118.4221367294217
25,107.96583831813484,103.52442151105761,103.52442151105761
25,108.65346046836002,101.52198229779147,101.52198229779147
25,104.63971328679975,95.11232896887012,95.20786617665632
25,107.54176860209733,98.38520136467298,98.38520136467292
25,101.98316629619708,96.4596353275902,96.45963532759018
25,103.1850262578307,97.82888709817617,97.84063819757694
25,117.47037606388194,108.23121235064303,108.23121235064303
26,120.31250108396554,112.32682305522584,112.42640268138781
26,114.72889502215462,105.8449584269625,105.8449584269625
26,92.52074717107631,88.00539945500181,87.98305331454628
26,141.05869897771734,133.95243533128655,133.95243533128655
26,116.42063453291416,110.96525309598599,110.96525309598596
26,105.28577055284214,99.63058780294304,99.65056592972078
26,113.79645646870483,106.32775247042659,106.32775247042659
26,114.90710068289641,104.89799959687392,104.89799959687393
26,112.04789202257217,103.41811642284337,103.41811642284338
26,104.30531498972681,98.91603381284419,98.91603381284415
27,117.47794426959982,105.48007003209086,105.48007003209088
27,108.79732271676156,99.85179666357399,99.29909810285122
27,128.85148137607166,121.4968053213448,121.49680532134477
27,122.8401191962059,113.87170856347682,113.87170856347683
27,97.40505707768753,92.02694164275216,91.60953191623682
27,115.44875069005876,109.21712496933573,109.23004820368087
27,144.57333260307144,131.29097216754423,131.29097216754425
27,116.3458396893399,107.48353343256952,107.48353343256953
27,127.64150263640711,116.76589965102252,116.76589965102251
27,118.10568938031419,106.43521098588998,106.53050276433942
28,137.27748675763377,128.85031581186257,128.85031581186257
28,129.378890619173,118.28027873754874,118.28027873754874
28,113.57895000149318,105.07678088757294,105.07678088757292
28,117.03909536264595,106.01218404995157,105.90741761482866
28,129.6236084701742,120.09379508906578,120.09379508906576
28,147.59432657516302,139.81012559495076,139.81012559495073
28,103.74643113786095,96.98997770062863,96.98997770062859
28,121.09465189071976,115.07039818790967,115.07039818790969
28,135.2030938975127,124.45599359603897,124.45599359603898
28,118.38657657008955,110.82721627649761,110.82721627649757
29,143.58528172740228,133.71690847648222,133.71690847648222
29,130.03726501503326,121.76619136880483,121.76619136880484
29,133.92164590674452,125.24393610638052,125.24393610638052
29,136.43297480226482,122.88276945129256,122.88276945129255
29,114.49338727420682,108.72876843068657,108.23038919783335
29,129.7282189493381,114.25848369971686,114.0918170330502
29,144.56521175543327,137.51695413716212,137.5169541371621
29,150.22384580846983,142.1994909938287,142.19949099382868
29,110.24697217501887,104.58246889693766,105.13385910958286
29,127.26133895420504,121.29060703991217,121.29060703991217
30,137.96330744180483,132.6552655253968,132.65526552539677
30,141.95032178313684,137.8476059020949,137.84760590209493
30,159.95824440265528,150.31788225939528,150.31788225939522
30,147.39700005395582,137.4251908589298,137.42519085892977
30,138.09468142425865,128.42702328316386,128.42702328316386
30,145.97909922432257,130.88126959096246,130.88126959096246
30,145.356424488576,129.89710864426658,129.89710864426658
30,116.92846337071285,107.3750694363923,106.87749642153231
30,149.4032494757337,138.44833878535715,138.480074634767
30,152.0158602270891,140.18226227188748,140.20343229098904
31,152.47634213041388,141.08935457961414,141.08935457961408
31,150.81012706165765,139.77458578012875,139.69058861599757
31,146.1676245807277,136.94658633504764,136.94658633504758
31,145.76499818977885,138.42973811477103,138.42973811477106
31,161.18437803985793,148.53100198561935,148.30110488916364
31,158.71792197859,144.5530808735625,144.55308087356246
31,140.13091328595002,130.74644137207292,130.74644137207292
31,122.72824858622346,116.1704423490235,116.09608418776715
31,149.51814430381523,135.10794417486153,135.1079441748615
31,135.4036295928106,118.9131619177492,118.78503382748352
32,141.91790068565388,131.37365259823866,131.37365259823866
32,170.59197485976807,157.77753144511826,157.77753144511823
32,141.00459227245472,131.94205554310392,132.08683676051243
32,132.4762773424492,122.95792188696353,122.88188984029588
32,156.26436684697128,143.55437433619417,143.55437433619417
32,120.15462752235432,112.38024617342694,112.22157257156044
32,154.98014449722086,144.6558505660645,144.63244186460105
32,147.22245833146738,137.35756134312456,137.3575613431246
32,162.6729909170434,150.57116582533556,150.5711658253355
32,147.88795840751078,134.28486835930602,133.90017520986726
33,152.22739461300256,140.00132975235326,140.18913098635358
33,147.35160689390045,134.35635324181777,134.04801715375632
33,141.78121398073569,133.30616621248595,133.30616621248592
33,174.44893191986964,160.51509454389958,160.51509454389958
33,143.52038501352303,135.00033217468828,135.00033217468825
33,129.6259997444248,121.92011127141551,121.13220232053237
33,162.8923693246417,150.61876858611245,150.65788869985815
33,121.33356660737887,115.51750931818444,115.72106488955248
33,159.91980807537325,147.19455038333393,147.41740425269114
33,152.31502200575687,140.834468863849,140.75972942715202
